seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,45.417,9.37916,0.077,-0.004,1.0,0.1
0,2000,27.917,0.69238,-19.666,-20.151,0.9683,5.9
0,4000,28.583,0.72366,-38.892,-39.244,0.9367,12.5
0,6000,31.167,1.20867,-57.27,-57.67,0.905,17.8
0,8000,31.417,1.70469,-75.454,-75.862,0.8733,22.9
0,10000,29.583,2.29718,-93.019,-93.701,0.8417,28.2
0,12000,30.667,2.91574,-109.689,-110.579,0.81,33.5
0,14000,31.667,3.41055,-124.88,-126.476,0.7783,39.2
0,16000,30.917,4.07549,-137.567,-140.376,0.7467,44.8
0,18000,30.833,4.53647,-149.565,-153.774,0.715,50.5
0,20000,32.833,5.00817,-155.653,-163.519,0.6833,57.0
0,22000,31.333,5.57777,-154.254,-167.143,0.6517,63.6
0,24000,31.583,6.20983,-144.127,-162.331,0.62,70.4
0,26000,30.583,6.8218,-142.378,-159.148,0.5883,76.5
0,28000,33.5,7.07118,-147.374,-162.565,0.5567,83.8
0,30000,31.75,7.52646,-153.228,-169.684,0.525,90.3
0,32000,27.583,7.84306,-163.651,-178.717,0.4933,96.7
0,34000,29.417,8.42346,-171.919,-186.652,0.4617,103.0
0,36000,31.0,8.86976,-180.542,-194.918,0.43,109.6
0,38000,27.917,9.47805,-189.354,-203.999,0.3983,116.3
0,40000,26.75,9.95116,-200.599,-214.803,0.3667,122.6
0,42000,25.917,10.56271,-207.298,-223.234,0.335,128.9
0,44000,24.5,11.20367,-209.104,-228.188,0.3033,135.4
0,46000,22.833,11.93142,-203.755,-229.727,0.2717,142.0
0,48000,23.583,13.25197,-177.695,-215.338,0.24,148.4
0,50000,22.583,14.7844,-125.413,-178.744,0.2083,154.9
0,52000,20.833,16.92233,-54.598,-119.805,0.1767,161.1
0,54000,20.833,18.09626,-37.081,-86.132,0.145,167.4
0,56000,20.083,19.07267,-34.655,-65.943,0.1133,173.8
0,58000,19.583,20.0486,-35.7,-64.178,0.0817,180.2
0,60000,20.0,21.13165,-32.76,-62.451,0.05,186.7
0,62000,19.167,22.0257,-31.655,-57.93,0.05,193.4
0,64000,17.667,22.88883,-34.286,-59.875,0.05,199.9
0,66000,16.917,23.37619,-30.758,-55.04,0.05,206.4
0,68000,29.75,23.99526,-30.489,-54.749,0.05,212.9
0,70000,35.083,23.03635,-30.364,-55.007,0.05,219.4
0,72000,17.25,21.26563,-31.869,-56.467,0.05,226.3
0,74000,24.583,20.0498,-32.185,-58.009,0.05,233.2
0,76000,33.75,17.56055,-31.216,-57.002,0.05,240.5
0,78000,26.833,16.12922,-29.814,-54.847,0.05,246.9
0,80000,26.833,15.31426,-31.113,-54.185,0.05,253.4
0,82000,23.417,14.04226,-31.927,-53.799,0.05,259.9
0,84000,23.833,13.35715,-32.33,-54.057,0.05,266.3
0,86000,22.667,13.06089,-30.058,-54.081,0.05,272.9
0,88000,19.0,12.31227,-31.614,-51.788,0.05,279.7
0,90000,20.083,12.07936,-30.876,-50.739,0.05,286.3
0,92000,18.75,12.18351,-32.21,-51.415,0.05,293.0
0,94000,18.917,12.24181,-31.746,-52.036,0.05,299.7
0,96000,19.5,12.28303,-33.274,-53.445,0.05,306.3
0,98000,20.917,12.24032,-31.597,-51.586,0.05,313.1
