seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,44.167,9.37919,0.078,-0.004,1.0,0.1
0,2000,27.667,0.76939,-19.635,-20.052,0.9683,5.8
0,4000,29.25,1.02329,-39.011,-39.442,0.9367,12.4
0,6000,35.75,1.78213,-57.906,-58.339,0.905,17.5
0,8000,32.833,2.54659,-76.246,-76.711,0.8733,22.6
0,10000,31.667,3.32715,-94.283,-94.826,0.8417,27.8
0,12000,37.917,4.0312,-112.041,-113.157,0.81,33.1
0,14000,34.25,4.86038,-129.376,-130.236,0.7783,38.3
0,16000,38.25,5.4761,-146.635,-147.471,0.7467,43.7
0,18000,35.667,6.3623,-164.235,-165.142,0.715,49.2
0,20000,31.333,7.08648,-180.238,-180.836,0.6833,54.6
0,22000,38.25,7.78459,-195.903,-197.36,0.6517,60.1
0,24000,37.667,8.43427,-210.848,-211.91,0.62,65.8
0,26000,39.083,8.98276,-226.576,-227.877,0.5883,71.4
0,28000,32.917,9.5388,-242.368,-243.488,0.5567,77.0
0,30000,40.5,10.06202,-256.809,-257.731,0.525,82.7
0,32000,38.833,10.44131,-272.686,-273.977,0.4933,88.5
0,34000,40.25,10.87033,-287.86,-289.663,0.4617,94.2
0,36000,35.833,11.89394,-302.585,-303.911,0.43,100.0
0,38000,37.833,12.42785,-315.319,-316.977,0.3983,105.9
0,40000,38.667,13.07776,-328.542,-329.857,0.3667,111.8
0,42000,32.833,13.78805,-341.488,-343.167,0.335,117.8
0,44000,34.75,14.23161,-354.423,-355.913,0.3033,123.9
0,46000,33.25,14.94448,-366.746,-368.335,0.2717,129.9
0,48000,33.417,15.56599,-379.389,-381.026,0.24,136.1
0,50000,35.917,16.58642,-391.11,-392.428,0.2083,142.3
0,52000,34.0,17.03902,-400.749,-403.424,0.1767,148.5
0,54000,38.25,17.39695,-412.391,-414.117,0.145,154.8
0,56000,30.667,17.38947,-422.387,-424.091,0.1133,161.1
0,58000,33.5,17.53167,-431.597,-433.118,0.0817,167.5
0,60000,35.417,18.05268,-442.083,-443.828,0.05,174.0
0,62000,33.667,18.77869,-451.775,-453.248,0.05,180.5
0,64000,34.25,19.88503,-462.411,-464.286,0.05,187.0
0,66000,34.083,21.3822,-472.877,-475.825,0.05,193.4
0,68000,28.0,22.00587,-477.217,-479.838,0.05,199.9
0,70000,28.583,22.2378,-487.513,-489.47,0.05,206.4
0,72000,29.583,22.46237,-497.383,-499.517,0.05,212.9
0,74000,30.0,22.59188,-504.991,-506.71,0.05,219.3
0,76000,29.75,22.71328,-511.11,-513.101,0.05,225.9
0,78000,29.917,23.08994,-518.353,-521.842,0.05,232.1
