seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,25.083,9.42006,0.078,-0.004,1.0,0.1
0,2000,22.833,0.77056,-19.702,-20.012,0.9683,10.0
0,4000,21.917,1.02853,-38.622,-39.006,0.9367,17.2
0,6000,24.333,1.80611,-57.465,-57.876,0.905,26.2
0,8000,22.5,2.58645,-76.111,-76.699,0.8733,33.1
0,10000,23.75,3.44986,-93.965,-94.714,0.8417,41.2
0,12000,23.583,4.2715,-111.073,-112.013,0.81,48.6
0,14000,24.0,5.20476,-129.178,-130.049,0.7783,58.1
0,16000,21.583,6.18375,-145.938,-146.635,0.7467,65.8
0,18000,22.917,7.2722,-162.666,-163.324,0.715,73.0
0,20000,23.833,8.38501,-179.499,-180.198,0.6833,80.9
0,22000,22.75,9.49825,-195.285,-196.765,0.6517,88.5
0,24000,21.833,10.85427,-210.368,-211.848,0.62,95.6
0,26000,20.333,11.82274,-226.579,-227.379,0.5883,102.7
0,28000,22.833,13.08491,-241.023,-242.635,0.5567,111.3
0,30000,23.167,14.33572,-255.148,-256.443,0.525,119.0
0,32000,21.417,15.32289,-268.793,-270.453,0.4933,126.6
0,34000,20.167,16.67015,-283.857,-285.362,0.4617,133.9
0,36000,23.333,18.27868,-298.539,-299.958,0.43,141.4
0,38000,20.917,19.85853,-310.172,-312.328,0.3983,149.1
0,40000,21.667,21.73653,-324.214,-325.967,0.3667,157.4
0,42000,20.0,23.50009,-337.541,-339.689,0.335,165.2
0,44000,21.833,24.96056,-350.424,-352.11,0.3033,173.0
0,46000,20.75,26.64277,-361.379,-364.46,0.2717,180.8
0,48000,20.083,27.65822,-373.009,-375.83,0.24,189.1
0,50000,19.167,29.89593,-385.254,-387.9,0.2083,197.4
0,52000,18.25,30.92668,-397.965,-399.787,0.1767,205.3
0,54000,18.833,32.37171,-406.614,-409.604,0.145,213.3
0,56000,19.75,33.87016,-415.744,-419.803,0.1133,221.8
0,58000,19.583,34.91047,-426.547,-429.644,0.0817,230.1
0,60000,18.333,36.97631,-437.933,-441.07,0.05,238.8
0,62000,20.583,38.32721,-447.023,-450.288,0.05,247.3
0,64000,17.333,39.84388,-455.845,-459.768,0.05,257.6
0,66000,18.917,40.85272,-466.682,-470.456,0.05,266.6
0,68000,19.333,41.57764,-475.79,-479.703,0.05,274.8
0,70000,18.0,42.27877,-485.112,-488.699,0.05,282.8
0,72000,18.5,42.77818,-491.756,-495.813,0.05,291.4
0,74000,17.083,43.24904,-497.449,-503.44,0.05,299.8
0,76000,16.417,44.2717,-503.913,-509.669,0.05,308.4
0,78000,17.417,44.61829,-513.062,-517.578,0.05,316.9
0,80000,17.25,45.26482,-518.347,-523.664,0.05,325.4
0,82000,18.0,46.61993,-523.506,-530.49,0.05,333.9
0,84000,16.25,47.28079,-527.561,-534.365,0.05,342.1
0,86000,15.5,47.58793,-533.989,-541.152,0.05,351.6
0,88000,16.833,48.08043,-539.831,-545.324,0.05,360.2
0,90000,16.75,47.2627,-541.756,-548.613,0.05,368.5
0,92000,16.0,46.86866,-546.555,-551.687,0.05,377.1
0,94000,16.167,46.33323,-542.883,-553.069,0.05,385.4
0,96000,15.917,46.37603,-547.465,-553.541,0.05,393.8
0,98000,15.667,45.95025,-543.348,-550.009,0.05,402.2
0,100000,15.667,45.49732,-536.044,-547.778,0.05,410.7
0,102000,15.833,44.81709,-530.378,-543.108,0.05,419.2
0,104000,14.917,43.96207,-521.804,-537.919,0.05,427.6
0,106000,15.417,43.14347,-518.44,-532.731,0.05,436.1
0,108000,15.333,42.20419,-513.075,-527.183,0.05,444.6
0,110000,16.083,41.16003,-511.081,-519.512,0.05,452.8
0,112000,15.0,39.73505,-490.144,-508.982,0.05,462.3
0,114000,15.25,39.27512,-486.654,-497.348,0.05,470.8
0,116000,15.167,38.59317,-468.419,-482.379,0.05,479.1
0,118000,15.5,37.39279,-448.067,-467.515,0.05,487.7
0,120000,15.417,36.08954,-442.388,-452.85,0.05,496.2
0,122000,15.833,33.017,-421.61,-433.436,0.05,504.5
0,124000,14.667,29.35803,-397.553,-413.08,0.05,512.8
0,126000,14.917,25.6664,-373.936,-388.889,0.05,523.4
0,128000,15.25,22.81258,-350.35,-364.009,0.05,533.6
0,130000,15.25,20.83217,-321.192,-336.466,0.05,543.0
0,132000,15.167,19.1629,-290.112,-306.396,0.05,551.4
0,134000,15.833,18.00939,-257.88,-274.113,0.05,559.7
0,136000,15.083,17.27913,-228.736,-243.712,0.05,568.0
0,138000,15.75,16.52379,-215.961,-226.397,0.05,576.4
0,140000,15.333,16.20065,-211.031,-221.544,0.05,584.9
0,142000,15.917,15.83138,-210.847,-221.205,0.05,593.5
0,144000,15.833,15.48243,-212.605,-222.186,0.05,603.0
0,146000,15.667,15.22684,-214.164,-223.129,0.05,611.5
0,148000,15.583,15.43718,-213.886,-222.469,0.05,619.9
0,150000,15.5,15.36736,-215.737,-222.574,0.05,628.4
0,152000,15.833,15.91661,-216.577,-223.471,0.05,637.1
0,154000,15.083,16.24031,-217.929,-224.331,0.05,645.6
0,156000,14.5,16.24626,-217.384,-224.944,0.05,653.8
0,158000,15.667,16.21483,-217.898,-225.495,0.05,662.7
0,160000,15.667,16.10619,-218.17,-226.367,0.05,671.8
0,162000,15.667,15.55938,-219.965,-226.786,0.05,680.0
0,164000,14.583,15.42683,-220.649,-227.062,0.05,688.6
0,166000,15.417,15.32621,-220.375,-227.087,0.05,697.5
0,168000,15.417,15.3514,-219.73,-226.433,0.05,705.9
0,170000,15.917,15.1776,-218.655,-225.717,0.05,714.5
0,172000,14.583,15.33057,-218.355,-225.242,0.05,722.9
0,174000,15.333,15.10565,-218.451,-224.505,0.05,732.1
0,176000,15.75,15.29426,-217.295,-224.572,0.05,740.7
0,178000,16.25,15.50792,-218.6,-224.87,0.05,749.0
0,180000,15.833,15.61389,-219.254,-225.454,0.05,757.2
0,182000,15.167,15.5233,-220.01,-226.349,0.05,765.5
0,184000,15.25,15.46855,-219.422,-227.028,0.05,774.8
0,186000,15.667,15.30564,-221.436,-227.465,0.05,783.4
0,188000,15.333,15.03433,-220.726,-227.113,0.05,791.7
0,190000,14.583,15.14956,-220.385,-226.702,0.05,801.6
0,192000,15.75,15.30334,-220.169,-226.731,0.05,811.9
0,194000,15.917,15.18356,-220.13,-226.923,0.05,821.6
0,196000,16.0,15.22973,-220.221,-227.266,0.05,830.2
0,198000,15.0,15.26406,-220.588,-227.551,0.05,838.7
0,200000,15.333,15.5535,-220.893,-228.1,0.05,847.2
0,202000,16.167,15.83727,-220.041,-228.272,0.05,855.4
0,204000,15.0,15.7478,-221.562,-228.363,0.05,863.8
0,206000,15.583,15.76029,-221.09,-228.198,0.05,872.2
0,208000,15.833,15.68303,-219.724,-227.21,0.05,881.7
0,210000,15.5,15.40724,-220.87,-227.306,0.05,890.4
0,212000,15.917,15.40099,-220.619,-227.306,0.05,899.2
0,214000,14.833,15.33872,-220.548,-227.053,0.05,907.9
0,216000,15.667,15.12075,-220.873,-227.695,0.05,916.5
0,218000,15.083,15.37768,-220.176,-226.908,0.05,925.0
0,220000,14.917,15.60115,-219.24,-226.59,0.05,933.3
0,222000,15.0,15.828,-219.652,-226.134,0.05,943.5
0,224000,14.583,16.01715,-219.413,-226.173,0.05,953.7
0,226000,16.0,15.85537,-219.635,-225.603,0.05,963.2
0,228000,16.0,15.90823,-218.376,-225.757,0.05,971.7
0,230000,15.083,15.72288,-220.42,-226.586,0.05,980.0
0,232000,15.833,15.63712,-220.961,-227.538,0.05,988.6
0,234000,15.667,15.74687,-222.152,-228.505,0.05,997.5
0,236000,15.083,15.61908,-222.452,-228.396,0.05,1006.9
