seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,45.083,9.42057,0.078,-0.004,1.0,0.1
0,2000,27.333,1.20299,-11.466,-18.947,0.9683,5.0
0,4000,21.417,1.94855,-10.959,-22.267,0.9367,10.1
0,6000,24.75,2.11897,-12.382,-21.585,0.905,15.2
0,8000,23.583,2.03342,-11.794,-21.615,0.8733,20.3
0,10000,16.417,2.05729,-11.822,-24.355,0.8417,25.5
0,12000,23.0,2.74403,-10.937,-27.272,0.81,30.7
0,14000,24.5,2.43481,-12.026,-22.279,0.7783,36.0
0,16000,28.583,2.71408,-11.095,-24.541,0.7467,41.4
0,18000,26.583,3.21159,-13.183,-22.044,0.715,46.8
0,20000,27.417,3.36147,-13.409,-23.776,0.6833,52.3
0,22000,24.083,3.71096,-11.789,-24.642,0.6517,57.7
0,24000,29.667,3.3452,-11.846,-23.348,0.62,63.3
0,26000,33.75,3.31187,-13.529,-21.792,0.5883,68.9
0,28000,28.833,3.67522,-11.373,-21.709,0.5567,74.6
0,30000,31.583,3.32054,-11.52,-20.243,0.525,80.3
0,32000,27.583,4.33568,-13.741,-24.861,0.4933,86.1
0,34000,25.5,4.61791,-15.378,-28.305,0.4617,91.9
0,36000,25.333,4.3818,-11.621,-20.812,0.43,97.7
0,38000,31.75,4.16692,-12.716,-22.324,0.3983,103.6
0,40000,30.667,4.67739,-11.629,-22.985,0.3667,109.6
0,42000,30.833,5.63897,-11.032,-21.256,0.335,115.6
0,44000,26.667,4.88691,-11.592,-23.468,0.3033,121.7
0,46000,30.0,4.73405,-13.413,-22.955,0.2717,127.7
0,48000,30.583,5.37676,-13.684,-23.77,0.24,133.9
0,50000,28.917,5.47643,-11.02,-22.867,0.2083,140.1
0,52000,28.917,5.21245,-11.51,-22.787,0.1767,146.4
0,54000,29.5,5.19669,-11.618,-22.201,0.145,152.7
0,56000,26.833,5.53645,-10.976,-22.74,0.1133,159.1
0,58000,29.333,6.07387,-17.694,-25.476,0.0817,165.5
0,60000,29.833,7.56317,-15.474,-26.462,0.05,171.9
0,62000,30.75,7.66347,-12.719,-25.158,0.05,178.4
0,64000,32.667,7.55183,-12.241,-25.079,0.05,184.6
0,66000,32.25,7.11103,-11.085,-21.966,0.05,191.1
0,68000,30.583,7.42987,-10.924,-24.739,0.05,197.6
