seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,45.333,9.38469,0.079,-0.004,1.0,0.1
0,2000,28.75,0.80206,-19.604,-19.983,0.9683,5.2
0,4000,34.75,1.22437,-38.73,-39.095,0.9367,10.3
0,6000,30.5,2.18276,-57.077,-57.502,0.905,15.4
0,8000,30.333,3.04961,-74.827,-75.704,0.8733,20.5
0,10000,31.917,4.11365,-92.58,-93.585,0.8417,25.7
0,12000,35.417,5.09443,-109.575,-110.801,0.81,31.0
0,14000,30.0,6.12404,-127.48,-128.207,0.7783,36.3
0,16000,44.333,6.91582,-143.924,-144.991,0.7467,41.6
0,18000,35.833,7.91361,-160.999,-161.917,0.715,47.0
0,20000,30.5,8.74472,-178.233,-179.029,0.6833,52.5
0,22000,32.917,9.61944,-192.785,-194.15,0.6517,58.0
0,24000,36.417,10.34379,-210.122,-211.051,0.62,63.6
0,26000,33.417,11.18014,-225.867,-227.845,0.5883,69.2
0,28000,34.083,12.19925,-241.704,-243.091,0.5567,74.9
0,30000,41.667,12.54339,-255.434,-256.824,0.525,80.6
0,32000,40.25,13.10692,-270.123,-271.195,0.4933,86.3
0,34000,38.833,13.53321,-282.968,-284.378,0.4617,92.2
0,36000,33.667,14.4766,-299.957,-300.778,0.43,98.0
0,38000,30.5,15.44767,-312.516,-313.951,0.3983,103.9
0,40000,39.583,16.72397,-325.728,-327.874,0.3667,109.9
0,42000,31.0,18.11739,-338.026,-339.448,0.335,115.9
0,44000,35.583,19.09889,-348.81,-350.27,0.3033,121.9
0,46000,34.25,19.75106,-359.85,-361.893,0.2717,128.0
0,48000,29.833,20.33697,-369.324,-371.495,0.24,134.2
0,50000,26.667,21.62846,-382.71,-384.001,0.2083,140.4
0,52000,39.0,22.28788,-391.871,-393.823,0.1767,146.6
0,54000,33.667,22.46392,-404.086,-405.816,0.145,152.9
0,56000,33.833,22.68676,-414.842,-417.034,0.1133,159.3
0,58000,39.083,23.17192,-423.652,-426.289,0.0817,165.7
0,60000,35.25,23.29335,-433.093,-435.742,0.05,172.2
0,62000,32.5,24.12145,-441.415,-443.277,0.05,178.7
0,64000,32.0,24.80563,-449.031,-451.573,0.05,185.2
0,66000,30.917,25.40545,-457.937,-459.616,0.05,191.6
0,68000,38.167,24.90341,-463.611,-466.676,0.05,198.2
0,70000,34.667,24.92324,-471.995,-474.407,0.05,204.7
0,72000,34.75,24.61973,-477.034,-479.222,0.05,211.2
0,74000,36.083,23.83594,-485.473,-487.557,0.05,217.6
0,76000,30.5,23.58128,-490.229,-492.432,0.05,224.1
0,78000,31.167,23.21459,-499.448,-501.359,0.05,230.5
0,80000,32.0,23.75255,-508.166,-510.979,0.05,237.0
0,82000,34.75,24.3357,-514.462,-516.886,0.05,243.5
0,84000,35.167,24.77106,-519.63,-521.927,0.05,250.0
0,86000,34.333,25.66228,-527.653,-530.046,0.05,256.5
0,88000,34.5,26.78553,-531.397,-534.876,0.05,263.0
