seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,25.5,9.42442,0.079,-0.004,1.0,0.1
0,2000,22.25,0.80629,-19.592,-19.956,0.9683,6.4
0,4000,24.167,1.23806,-38.593,-38.986,0.9367,12.7
0,6000,23.083,2.18182,-57.06,-57.478,0.905,19.1
0,8000,21.667,3.13593,-74.46,-75.503,0.8733,25.5
0,10000,22.167,4.23098,-91.461,-92.566,0.8417,32.0
0,12000,23.917,5.36058,-109.695,-110.629,0.81,38.6
0,14000,21.5,6.61963,-127.341,-127.894,0.7783,45.2
0,16000,21.583,7.85206,-143.834,-144.782,0.7467,52.0
0,18000,22.333,9.48523,-161.399,-162.126,0.715,58.8
0,20000,21.917,10.92946,-176.445,-177.462,0.6833,65.6
0,22000,22.833,12.51236,-193.007,-194.209,0.6517,72.5
0,24000,22.333,14.27854,-209.065,-210.352,0.62,79.5
0,26000,22.583,15.86855,-226.517,-227.631,0.5883,86.5
0,28000,22.75,17.81107,-242.199,-243.418,0.5567,93.6
0,30000,20.917,19.81585,-257.618,-259.205,0.525,100.7
0,32000,21.583,21.48375,-274.074,-275.463,0.4933,108.0
0,34000,19.833,23.343,-286.299,-288.318,0.4617,115.3
0,36000,21.333,25.54587,-300.418,-302.178,0.43,122.7
0,38000,18.417,27.84788,-314.792,-316.052,0.3983,130.1
0,40000,19.333,29.87376,-327.292,-329.042,0.3667,137.5
0,42000,19.667,32.3625,-339.965,-342.15,0.335,144.9
0,44000,20.333,34.57687,-352.985,-354.396,0.3033,152.5
0,46000,18.167,37.08475,-365.942,-367.993,0.2717,160.1
0,48000,18.25,38.66714,-377.264,-380.383,0.24,167.9
0,50000,19.25,42.22406,-389.498,-391.587,0.2083,175.7
0,52000,18.833,44.51062,-399.962,-402.896,0.1767,183.6
0,54000,18.0,46.91709,-411.237,-413.297,0.145,191.5
0,56000,16.75,49.24217,-418.767,-422.334,0.1133,199.5
0,58000,16.583,51.30277,-427.471,-432.057,0.0817,207.6
0,60000,16.333,54.29398,-437.53,-440.518,0.05,215.7
0,62000,16.667,56.91079,-444.181,-449.205,0.05,223.9
0,64000,16.083,59.73046,-451.339,-455.674,0.05,232.1
0,66000,15.917,61.96368,-459.592,-463.857,0.05,240.2
0,68000,15.0,63.33361,-471.126,-476.094,0.05,248.4
0,70000,15.25,64.00004,-479.149,-484.274,0.05,256.6
0,72000,15.833,64.73036,-484.544,-490.11,0.05,264.8
0,74000,16.5,65.03302,-492.8,-497.388,0.05,272.9
0,76000,16.333,65.96879,-495.346,-503.362,0.05,281.1
0,78000,14.75,66.71536,-498.328,-508.224,0.05,289.3
0,80000,14.75,67.01826,-504.184,-511.792,0.05,297.5
0,82000,15.167,67.06696,-503.446,-512.004,0.05,305.6
0,84000,15.667,65.76262,-504.19,-513.722,0.05,313.8
0,86000,15.917,65.06384,-500.074,-512.989,0.05,322.0
0,88000,15.083,64.03146,-497.56,-510.187,0.05,330.2
0,90000,14.583,62.28567,-494.408,-504.776,0.05,338.4
0,92000,15.75,60.62235,-486.792,-498.377,0.05,346.5
0,94000,16.0,58.54993,-475.383,-488.01,0.05,354.8
0,96000,15.417,56.22935,-458.745,-470.968,0.05,363.0
0,98000,15.833,53.02268,-441.556,-455.771,0.05,371.1
0,100000,15.833,49.99013,-422.407,-437.959,0.05,379.3
0,102000,15.5,46.93243,-405.563,-420.02,0.05,387.5
0,104000,15.583,43.19774,-383.715,-399.574,0.05,395.7
0,106000,15.333,39.54518,-360.361,-375.857,0.05,403.8
0,108000,14.833,35.79882,-336.547,-352.143,0.05,412.0
0,110000,15.25,32.41911,-309.742,-325.872,0.05,420.2
0,112000,15.833,29.23126,-282.21,-298.665,0.05,428.4
0,114000,15.417,26.78732,-254.199,-270.507,0.05,436.6
0,116000,15.917,24.94013,-229.182,-243.246,0.05,444.8
0,118000,15.333,23.86564,-213.127,-225.336,0.05,453.0
0,120000,15.5,23.70621,-205.807,-215.934,0.05,461.2
0,122000,15.417,23.61164,-203.435,-212.919,0.05,469.3
0,124000,16.333,23.86193,-203.681,-211.861,0.05,477.5
0,126000,15.667,23.94323,-204.985,-213.669,0.05,485.7
0,128000,15.75,24.17075,-208.126,-215.665,0.05,493.8
0,130000,16.167,24.26559,-210.227,-218.051,0.05,502.0
0,132000,15.833,24.28961,-213.209,-221.099,0.05,510.2
0,134000,15.667,24.15926,-215.336,-223.445,0.05,518.4
0,136000,15.25,24.23972,-216.05,-223.219,0.05,526.5
0,138000,14.75,24.10731,-216.924,-223.774,0.05,534.7
0,140000,14.583,24.24225,-216.699,-223.559,0.05,542.9
0,142000,15.833,24.38028,-216.624,-224.072,0.05,551.0
0,144000,15.5,24.4862,-217.919,-225.329,0.05,559.2
0,146000,15.667,24.41539,-218.255,-225.331,0.05,567.4
0,148000,15.583,24.60398,-218.666,-225.541,0.05,575.6
0,150000,15.667,24.35187,-218.895,-225.846,0.05,583.8
0,152000,16.25,24.63936,-218.868,-226.625,0.05,592.0
0,154000,15.833,24.68744,-220.651,-227.7,0.05,600.2
0,156000,15.833,24.31007,-220.33,-227.049,0.05,608.3
0,158000,16.417,24.18301,-218.698,-226.193,0.05,616.5
0,160000,15.75,23.88508,-216.826,-224.756,0.05,624.5
0,162000,15.75,23.67822,-216.123,-223.458,0.05,632.7
0,164000,16.083,23.48758,-214.751,-222.46,0.05,640.9
0,166000,15.083,23.52621,-215.66,-222.355,0.05,649.0
0,168000,14.833,23.6795,-214.293,-221.306,0.05,657.1
0,170000,15.5,23.5555,-214.451,-220.82,0.05,665.3
0,172000,15.25,23.78702,-215.108,-220.953,0.05,673.5
0,174000,15.917,23.75565,-213.867,-220.742,0.05,681.6
0,176000,15.667,23.96645,-213.981,-221.235,0.05,689.8
0,178000,15.333,24.10263,-214.037,-221.625,0.05,697.9
0,180000,15.833,24.26323,-216.841,-223.256,0.05,706.1
0,182000,15.333,24.08361,-218.324,-225.037,0.05,714.3
0,184000,15.667,24.26871,-219.398,-225.878,0.05,722.5
0,186000,15.583,24.0487,-219.358,-226.79,0.05,730.7
0,188000,16.0,24.0563,-219.045,-226.015,0.05,738.8
0,190000,15.333,23.92639,-217.944,-224.616,0.05,747.1
0,192000,15.667,23.92331,-216.394,-223.637,0.05,755.2
0,194000,15.167,23.6984,-215.063,-223.169,0.05,763.3
0,196000,15.25,23.76299,-215.511,-222.865,0.05,771.5
0,198000,15.333,23.85082,-215.735,-222.576,0.05,779.7
0,200000,15.167,23.85362,-215.557,-222.4,0.05,787.9
0,202000,16.083,23.98257,-216.037,-222.37,0.05,796.0
0,204000,15.833,23.85391,-217.18,-223.428,0.05,804.2
0,206000,16.083,24.01303,-218.82,-224.633,0.05,812.4
0,208000,15.583,24.22777,-219.216,-225.349,0.05,820.6
0,210000,15.75,24.20095,-220.063,-226.1,0.05,828.7
0,212000,14.917,24.10564,-220.199,-226.52,0.05,836.9
0,214000,15.917,24.32515,-218.844,-225.115,0.05,845.1
0,216000,15.917,23.84266,-218.352,-225.185,0.05,853.3
0,218000,16.25,23.83124,-218.15,-224.842,0.05,861.4
0,220000,15.75,23.86004,-219.018,-224.938,0.05,869.6
0,222000,16.5,24.08826,-219.205,-225.127,0.05,877.8
0,224000,16.083,24.1284,-219.527,-225.113,0.05,885.9
0,226000,16.167,24.15026,-220.137,-225.98,0.05,894.1
0,228000,16.25,24.15848,-220.356,-226.41,0.05,902.3
0,230000,16.0,23.96974,-219.486,-225.517,0.05,910.5
0,232000,16.25,24.08033,-217.418,-223.606,0.05,918.7
0,234000,14.917,24.07236,-216.863,-222.882,0.05,926.9
0,236000,16.333,23.92304,-216.637,-222.605,0.05,935.1
0,238000,16.083,24.1052,-216.467,-223.157,0.05,943.3
0,240000,15.5,23.99262,-218.076,-223.886,0.05,951.5
0,242000,16.0,24.15569,-218.739,-225.723,0.05,959.6
0,244000,15.667,24.08022,-219.388,-225.786,0.05,967.8
0,246000,15.25,24.001,-218.643,-225.458,0.05,976.0
0,248000,15.417,24.0687,-218.579,-224.538,0.05,984.2
0,250000,15.083,23.91108,-217.829,-224.297,0.05,992.4
0,252000,15.0,24.22366,-217.984,-224.523,0.05,1000.6
0,254000,15.833,24.10742,-218.828,-224.731,0.05,1008.7
0,256000,15.917,24.07306,-219.241,-225.107,0.05,1016.9
0,258000,16.083,24.1179,-218.423,-225.108,0.05,1025.1
0,260000,15.5,24.03021,-218.609,-225.375,0.05,1033.3
