seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,25.417,9.44536,0.08,-0.003,1.0,0.1
0,2000,22.583,1.79644,1.457,-12.238,0.9683,8.3
0,4000,19.167,3.32004,2.391,-23.766,0.9367,16.6
0,6000,18.333,4.80424,3.189,-34.625,0.905,25.0
0,8000,17.75,6.27635,3.908,-45.212,0.8733,33.3
0,10000,19.0,7.66123,4.541,-55.377,0.8417,41.8
0,12000,17.583,9.06318,5.13,-65.476,0.81,50.3
0,14000,17.333,10.34182,5.679,-75.12,0.7783,58.8
0,16000,17.75,11.49185,6.187,-84.294,0.7467,67.4
0,18000,16.417,12.42729,6.691,-93.492,0.715,76.2
0,20000,16.417,13.58528,7.146,-102.014,0.6833,84.9
0,22000,16.0,14.23356,7.571,-109.63,0.6517,93.8
0,24000,15.75,14.77702,8.019,-117.971,0.62,102.5
0,26000,15.583,15.1185,8.452,-125.422,0.5883,111.3
0,28000,16.5,15.64409,8.846,-131.891,0.5567,120.1
0,30000,16.25,15.64288,9.237,-140.022,0.525,129.1
0,32000,15.333,15.47039,9.641,-149.048,0.4933,138.3
0,34000,16.083,15.14322,9.943,-157.282,0.4617,147.5
0,36000,15.0,14.87751,10.13,-163.306,0.43,156.8
0,38000,14.667,14.19444,10.152,-165.735,0.3983,166.2
0,40000,15.667,13.57501,10.126,-168.112,0.3667,175.6
0,42000,14.833,12.98698,9.847,-166.346,0.335,185.1
0,44000,14.75,12.20711,9.536,-163.405,0.3033,194.6
0,46000,15.583,11.04447,9.242,-161.23,0.2717,204.1
0,48000,15.833,9.9228,8.872,-156.478,0.24,213.8
0,50000,15.333,8.88209,8.609,-151.159,0.2083,223.6
0,52000,14.75,8.26793,8.433,-148.646,0.1767,233.3
0,54000,15.833,7.53184,8.342,-147.95,0.145,243.2
0,56000,15.583,6.85402,8.22,-147.47,0.1133,253.2
0,58000,15.417,6.62455,8.146,-147.436,0.0817,263.1
0,60000,15.333,6.47116,8.157,-146.956,0.05,273.2
0,62000,15.083,6.12573,8.175,-146.701,0.05,283.2
0,64000,15.083,5.7535,8.196,-145.673,0.05,293.3
0,66000,15.25,5.28178,8.138,-143.75,0.05,303.4
0,68000,15.167,5.1529,8.073,-141.482,0.05,313.5
0,70000,15.167,5.21472,8.059,-140.485,0.05,323.6
0,72000,15.167,5.30323,8.053,-140.093,0.05,333.7
0,74000,15.417,5.27096,8.046,-139.996,0.05,343.7
0,76000,15.25,5.35368,8.042,-139.91,0.05,353.8
0,78000,15.083,5.42388,8.008,-139.512,0.05,363.8
0,80000,15.333,5.44661,8.017,-139.013,0.05,373.9
0,82000,15.25,5.50922,8.013,-139.094,0.05,383.9
