seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,25.5,9.45696,0.078,-0.004,1.0,0.1
0,2000,21.833,1.21122,-11.474,-18.955,0.9683,6.4
0,4000,18.5,1.89969,-11.063,-23.261,0.9367,12.7
0,6000,21.25,1.97324,-11.517,-22.241,0.905,19.1
0,8000,19.833,1.90798,-11.574,-22.306,0.8733,25.5
0,10000,17.5,2.19267,-12.463,-22.767,0.8417,32.0
0,12000,23.25,2.48221,-12.309,-22.918,0.81,38.6
0,14000,23.667,2.7295,-11.334,-28.856,0.7783,45.3
0,16000,22.583,2.9769,-13.031,-21.915,0.7467,52.0
0,18000,23.917,3.26726,-13.985,-24.622,0.715,58.9
0,20000,23.083,3.1718,-11.974,-21.543,0.6833,65.8
0,22000,22.833,3.27732,-11.103,-23.987,0.6517,72.7
0,24000,22.167,3.15895,-11.29,-20.654,0.62,79.7
0,26000,24.75,2.88958,-11.771,-21.48,0.5883,86.7
0,28000,20.5,3.57442,-12.027,-25.115,0.5567,93.8
0,30000,23.75,3.43139,-11.263,-20.277,0.525,101.0
0,32000,19.583,4.13516,-12.882,-24.149,0.4933,108.3
0,34000,23.583,4.18956,-11.549,-24.517,0.4617,115.6
0,36000,20.25,4.65381,-10.77,-21.83,0.43,123.0
0,38000,21.583,3.76967,-11.643,-21.036,0.3983,130.4
0,40000,20.083,4.37533,-11.11,-21.798,0.3667,137.9
0,42000,20.917,4.63761,-12.263,-21.402,0.335,145.4
0,44000,21.833,4.78013,-12.248,-22.898,0.3033,153.1
0,46000,23.25,5.11954,-14.79,-24.497,0.2717,160.8
0,48000,24.333,6.09756,-10.786,-23.994,0.24,168.5
0,50000,24.917,4.98077,-12.014,-22.398,0.2083,176.4
0,52000,25.0,4.92772,-11.089,-21.873,0.1767,184.3
0,54000,23.667,5.17606,-11.629,-23.529,0.145,192.2
0,56000,23.167,5.70629,-11.398,-24.76,0.1133,200.2
0,58000,23.25,5.64411,-15.299,-23.673,0.0817,208.3
0,60000,22.417,7.39255,-11.061,-22.747,0.05,216.5
0,62000,22.583,6.97068,-12.567,-22.324,0.05,224.7
0,64000,24.25,7.70354,-13.42,-27.384,0.05,232.9
0,66000,24.333,7.45082,-12.682,-21.654,0.05,241.1
0,68000,24.583,7.01904,-11.824,-22.597,0.05,249.3
0,70000,24.333,6.45207,-11.855,-24.054,0.05,257.5
0,72000,24.167,6.25739,-11.199,-22.585,0.05,265.6
0,74000,24.417,5.87141,-11.293,-21.212,0.05,273.8
0,76000,24.25,6.01551,-13.754,-23.464,0.05,282.0
