seed,step,queries,loss,maxq0,mean_q,eps,sec
0,0,25.083,9.4784,0.08,-0.003,1.0,0.1
0,2000,26.083,2.69088,0.906,-3.611,0.9683,7.9
0,4000,24.833,5.48831,0.82,-5.257,0.9367,16.0
0,6000,24.25,5.81809,0.824,-6.485,0.905,23.3
0,8000,25.583,5.71403,0.791,-8.273,0.8733,31.7
0,10000,24.417,5.37377,0.683,-8.283,0.8417,40.2
0,12000,23.0,5.13685,0.668,-9.542,0.81,48.9
0,14000,24.167,4.89686,0.696,-10.534,0.7783,57.8
0,16000,23.0,5.06344,0.685,-10.281,0.7467,66.8
0,18000,25.083,5.06684,0.685,-10.583,0.715,76.0
0,20000,24.917,5.08387,0.654,-10.431,0.6833,85.1
0,22000,25.083,4.91577,0.645,-10.471,0.6517,94.6
0,24000,25.417,4.76739,0.634,-10.654,0.62,104.9
0,26000,25.417,4.73952,0.628,-10.698,0.5883,114.9
0,28000,24.583,4.62867,0.617,-10.958,0.5567,125.5
0,30000,24.083,4.63308,0.593,-10.67,0.525,136.3
0,32000,23.917,4.4574,0.594,-10.745,0.4933,147.5
0,34000,24.583,4.38005,0.56,-10.516,0.4617,158.9
0,36000,25.0,4.28952,0.505,-9.96,0.43,169.6
0,38000,24.25,4.2561,0.496,-10.127,0.3983,180.7
0,40000,24.417,4.1952,0.477,-9.808,0.3667,190.9
0,42000,24.333,4.17412,0.448,-9.744,0.335,201.1
0,44000,23.417,4.23525,0.461,-9.723,0.3033,208.5
0,46000,24.917,4.14451,0.45,-9.505,0.2717,214.2
0,48000,23.833,4.086,0.437,-9.549,0.24,220.0
0,50000,24.25,4.13913,0.427,-9.225,0.2083,225.9
0,52000,24.25,4.00455,0.413,-9.211,0.1767,231.9
0,54000,24.667,4.01965,0.384,-9.486,0.145,237.9
0,56000,23.667,4.03689,0.386,-9.273,0.1133,244.0
0,58000,23.917,4.04979,0.398,-9.221,0.0817,250.1
0,60000,23.25,3.97135,0.388,-9.082,0.05,256.3
0,62000,23.083,4.02459,0.369,-8.905,0.05,262.6
0,64000,23.083,3.94369,0.388,-8.812,0.05,268.8
0,66000,23.75,3.98143,0.399,-8.978,0.05,275.2
0,68000,23.167,3.96804,0.401,-8.799,0.05,281.5
0,70000,23.667,3.89023,0.39,-8.923,0.05,287.7
0,72000,24.333,3.86103,0.396,-8.769,0.05,294.0
0,74000,24.083,3.8278,0.405,-9.007,0.05,300.2
0,76000,23.75,3.93153,0.404,-8.793,0.05,306.5
0,78000,24.0,3.85615,0.412,-8.819,0.05,312.7
0,80000,24.083,3.88871,0.426,-8.701,0.05,318.9
0,82000,23.0,3.87747,0.451,-8.768,0.05,325.2
0,84000,24.0,3.82709,0.446,-8.864,0.05,331.5
0,86000,23.75,3.82383,0.456,-8.809,0.05,337.7
0,88000,23.833,3.85158,0.46,-8.745,0.05,344.0
0,90000,24.083,3.84655,0.477,-8.599,0.05,350.2
0,92000,23.0,3.8199,0.472,-8.766,0.05,356.5
0,94000,24.833,3.80837,0.497,-8.842,0.05,362.8
0,96000,24.917,3.83707,0.474,-8.904,0.05,369.0
0,98000,25.167,3.82298,0.467,-8.934,0.05,375.3
0,100000,23.833,3.77318,0.464,-8.832,0.05,381.5
0,102000,24.083,3.78004,0.474,-8.803,0.05,387.8
0,104000,25.0,3.87985,0.477,-9.014,0.05,394.0
0,106000,23.917,3.77246,0.485,-8.92,0.05,400.2
