seed,n_draws,B,I,sec
0,10,66,24,2.5
1,4,59,7,0.9
2,7,72,15,1.7
3,3,72,6,0.7
4,1,68,6,0.2
5,8,80,12,1.8
6,5,88,7,1.2
7,7,49,8,1.6
8,2,73,6,0.4
9,1,52,7,0.2
10,4,59,6,0.9
11,5,51,10,1.1
12,4,70,14,0.9
13,1,75,6,0.2
14,4,69,6,0.9
15,6,70,6,1.3
16,2,68,6,0.4
17,1,85,8,0.3
18,15,50,6,3.3
19,3,89,6,0.7
20,11,65,13,2.5
21,2,80,8,0.4
22,1,57,8,0.2
23,4,54,6,0.9
24,1,56,13,0.3
25,12,55,7,2.7
26,3,57,12,0.7
27,3,96,7,0.7
28,3,70,7,0.7
29,2,63,11,0.4
30,4,89,7,0.9
31,1,68,15,0.2
32,2,66,12,0.4
33,9,66,8,2.0
34,1,70,8,0.2
35,1,71,8,0.2
36,6,57,11,1.3
37,2,70,6,0.4
38,1,60,17,0.2
39,3,48,8,0.7
