seed,n_B,n_I,policy,mean_queries
0,66,24,Query All,41.371
0,66,24,H1,48.083
0,66,24,H3,26.917
0,66,24,H4,47.167
0,66,24,Rails only,24.0
0,66,24,Rails + entropy,24.917
0,66,24,floor,13.667
1,59,7,Query All,36.521
1,59,7,H1,49.917
1,59,7,H3,19.833
1,59,7,H4,49.917
1,59,7,Rails only,18.183
1,59,7,Rails + entropy,17.583
1,59,7,floor,10.75
2,72,15,Query All,59.246
2,72,15,H1,61.0
2,72,15,H3,42.083
2,72,15,H4,60.667
2,72,15,Rails only,33.367
2,72,15,Rails + entropy,34.75
2,72,15,floor,20.583
3,72,6,Query All,42.683
3,72,6,H1,46.25
3,72,6,H3,21.75
3,72,6,H4,45.917
3,72,6,Rails only,20.533
3,72,6,Rails + entropy,23.167
3,72,6,floor,14.5
4,68,6,Query All,31.579
4,68,6,H1,33.5
4,68,6,H3,15.75
4,68,6,H4,32.75
4,68,6,Rails only,11.667
4,68,6,Rails + entropy,12.917
4,68,6,floor,7.5
5,80,12,Query All,37.817
5,80,12,H1,42.75
5,80,12,H3,29.917
5,80,12,H4,41.333
5,80,12,Rails only,24.683
5,80,12,Rails + entropy,25.25
5,80,12,floor,16.083
6,88,7,Query All,48.25
6,88,7,H1,46.583
6,88,7,H3,25.75
6,88,7,H4,46.417
6,88,7,Rails only,22.517
6,88,7,Rails + entropy,21.833
6,88,7,floor,15.0
7,49,8,Query All,25.25
7,49,8,H1,21.917
7,49,8,H3,14.5
7,49,8,H4,20.917
7,49,8,Rails only,11.65
7,49,8,Rails + entropy,10.417
7,49,8,floor,6.25
8,73,6,Query All,43.921
8,73,6,H1,47.0
8,73,6,H3,22.417
8,73,6,H4,46.417
8,73,6,Rails only,23.267
8,73,6,Rails + entropy,24.333
8,73,6,floor,17.5
9,52,7,Query All,39.113
9,52,7,H1,41.417
9,52,7,H3,28.417
9,52,7,H4,41.25
9,52,7,Rails only,22.883
9,52,7,Rails + entropy,24.333
9,52,7,floor,16.917
10,59,6,Query All,31.046
10,59,6,H1,42.417
10,59,6,H3,13.833
10,59,6,H4,42.167
10,59,6,Rails only,13.683
10,59,6,Rails + entropy,12.25
10,59,6,floor,7.333
11,51,10,Query All,36.158
11,51,10,H1,44.417
11,51,10,H3,18.25
11,51,10,H4,44.417
11,51,10,Rails only,15.067
11,51,10,Rails + entropy,15.167
11,51,10,floor,9.167
12,70,14,Query All,50.696
12,70,14,H1,41.0
12,70,14,H3,31.75
12,70,14,H4,39.75
12,70,14,Rails only,25.267
12,70,14,Rails + entropy,25.5
12,70,14,floor,16.417
13,75,6,Query All,42.371
13,75,6,H1,53.333
13,75,6,H3,23.667
13,75,6,H4,52.75
13,75,6,Rails only,21.9
13,75,6,Rails + entropy,22.5
13,75,6,floor,13.417
14,69,6,Query All,44.179
14,69,6,H1,35.0
14,69,6,H3,25.25
14,69,6,H4,34.083
14,69,6,Rails only,20.85
14,69,6,Rails + entropy,19.833
14,69,6,floor,12.333
15,70,6,Query All,45.608
15,70,6,H1,42.917
15,70,6,H3,20.917
15,70,6,H4,41.583
15,70,6,Rails only,18.233
15,70,6,Rails + entropy,18.25
15,70,6,floor,12.75
16,68,6,Query All,31.158
16,68,6,H1,31.833
16,68,6,H3,17.833
16,68,6,H4,30.75
16,68,6,Rails only,14.133
16,68,6,Rails + entropy,14.667
16,68,6,floor,8.667
17,85,8,Query All,51.004
17,85,8,H1,51.083
17,85,8,H3,28.333
17,85,8,H4,50.25
17,85,8,Rails only,24.983
17,85,8,Rails + entropy,23.833
17,85,8,floor,17.417
18,50,6,Query All,34.717
18,50,6,H1,33.833
18,50,6,H3,17.333
18,50,6,H4,33.417
18,50,6,Rails only,15.017
18,50,6,Rails + entropy,14.75
18,50,6,floor,10.0
19,89,6,Query All,37.75
19,89,6,H1,33.75
19,89,6,H3,21.833
19,89,6,H4,32.333
19,89,6,Rails only,16.383
19,89,6,Rails + entropy,16.25
19,89,6,floor,7.5
