n_rollouts  , sec  , envelope, optimistic, pessimistic
0           ,   0.1,        0,     27.917,      28.333
50          ,   2.0,    94894,     30.833,      27.667
100         ,   4.5,   214219,     30.333,      29.75
200         ,   9.9,   423235,     30.917,      26.25
400         ,  22.9,   526648,     30.333,      30.417
800         ,  54.6,   551833,     29.75 ,      30.167
1600        , 117.5,   561937,     28.833,      24.083
3200        , 243.7,   569972,     28.833,      29.75
6400        , 494.9,   574318,     27.75 ,      30.583
H3_reference,      ,         ,     26.917,        
