Environment,seeds,bottleneck_finding_times,maximal_achievable_pruning_times,maximal_achievable_no_pruning_times,policy_computation_pruning_times,policy_computation_no_pruning_times,pruning_times,pruning_checks,pruning_subsets,no_pruning_times,no_pruning_checks,no_pruning_subsets,query_counts,query_all_counts,information_gain_counts,human_bottlenecks,initial_mdp_state_space_sizes,initial_mdp_action_space_sizes
grid_4_5_models_0.1,42.0,0.5450241565704346,0.5867230892181396,0.607943058013916,0.014356851577758789,0.015136957168579102,0.5867230892181396,0,0,0.607943058013916,0,1,2.0,6.0,2.0,1,16,4
grid_4_5_models_0.1,43.0,0.5424880981445312,0.5948798656463623,0.6602632999420166,0.0065059661865234375,0.006332874298095703,0.5948798656463623,0,0,0.6602632999420166,0,1,2.0,2.0,2.0,4,16,4
grid_4_5_models_0.1,44.0,0.55361008644104,0.5842468738555908,0.6313779354095459,0.009575843811035156,0.00909113883972168,0.5842468738555908,0,0,0.6313779354095459,0,1,4.0,4.0,4.0,2,16,4
grid_4_5_models_0.1,,0.5572328567504883,0.611274003982544,0.6497218608856201,0.03963804244995117,0.03986835479736328,0.611274003982544,0,0,0.6497218608856201,0,1,6.0,8.0,2.0,3,16,4
grid_4_5_models_0.1,,0.5569729804992676,0.5944907665252686,0.6227200031280518,0.006108760833740234,0.005831241607666016,0.5944907665252686,0,0,0.6227200031280518,0,1,2.0,2.0,2.0,1,16,4
grid_4_5_models_0.1,,0.562302827835083,0.6164312362670898,0.7415897846221924,0.0065081119537353516,0.0064089298248291016,0.6164312362670898,0,0,0.7415897846221924,0,1,2.0,2.0,2.0,5,16,4
grid_4_5_models_0.1,,0.5430920124053955,0.5932238101959229,0.6180670261383057,,,0.5932238101959229,0,0,0.6180670261383057,0,1,,,,2,16,4
grid_4_5_models_0.1,,0.54697585105896,0.5847487449645996,0.6095669269561768,,,0.5847487449645996,0,0,0.6095669269561768,0,1,,,,1,16,4
grid_4_5_models_0.1,,0.556912899017334,0.5902040004730225,0.6388249397277832,,,0.5902040004730225,0,0,0.6388249397277832,0,1,,,,2,16,4
four_rooms_4_5_models_0.0,42.0,0.47054386138916016,0.7082791328430176,0.7435779571533203,0.0060122013092041016,0.00621795654296875,0.7082791328430176,0,0,0.7435779571533203,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,43.0,0.49652600288391113,0.7369792461395264,0.7511940002441406,0.006173849105834961,0.006005048751831055,0.7369792461395264,0,0,0.7511940002441406,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,44.0,0.46404504776000977,0.7141709327697754,0.7494461536407471,0.006187915802001953,0.0059010982513427734,0.7141709327697754,0,0,0.7494461536407471,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,,0.4889340400695801,0.7287940979003906,0.7660937309265137,0.006371736526489258,0.006258964538574219,0.7287940979003906,0,0,0.7660937309265137,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,,0.4696629047393799,0.7129831314086914,0.7244870662689209,0.006051063537597656,0.005995750427246094,0.7129831314086914,0,0,0.7244870662689209,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,,0.440993070602417,0.6855158805847168,0.712677001953125,0.0065157413482666016,0.006375312805175781,0.6855158805847168,0,0,0.712677001953125,0,1,2.0,2.0,2.0,1,16,4
four_rooms_4_5_models_0.0,,0.4763000011444092,0.7263338565826416,0.7594459056854248,0.0063517093658447266,0.006185293197631836,0.7263338565826416,0,0,0.7594459056854248,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,,0.5041799545288086,0.7382280826568604,0.7686870098114014,0.006562948226928711,0.006376981735229492,0.7382280826568604,0,0,0.7686870098114014,0,1,2.0,2.0,2.0,2,16,4
four_rooms_4_5_models_0.0,,0.4805567264556885,0.7259619235992432,0.759303092956543,,,0.7259619235992432,0,0,0.759303092956543,0,1,,,,2,16,4
puddle_4_5_models_0.1,42.0,0.5546896457672119,0.5899059772491455,0.6127979755401611,0.014646053314208984,0.014854907989501953,0.5899059772491455,0,0,0.6127979755401611,0,1,2.0,6.0,2.0,1,16,4
puddle_4_5_models_0.1,43.0,0.5508768558502197,0.6002850532531738,0.6715102195739746,0.006022214889526367,0.0057637691497802734,0.6002850532531738,0,0,0.6715102195739746,0,1,2.0,2.0,2.0,4,16,4
puddle_4_5_models_0.1,44.0,0.5556848049163818,0.5824508666992188,0.6219711303710938,0.009742975234985352,0.009328842163085938,0.5824508666992188,0,0,0.6219711303710938,0,1,4.0,4.0,4.0,2,16,4
puddle_4_5_models_0.1,,0.5573668479919434,0.6062180995941162,0.6334888935089111,0.038037776947021484,0.03813004493713379,0.6062180995941162,0,0,0.6334888935089111,0,1,6.0,8.0,2.0,3,16,4
puddle_4_5_models_0.1,,0.5610289573669434,0.5895318984985352,0.6264638900756836,0.0058002471923828125,0.00604701042175293,0.5895318984985352,0,0,0.6264638900756836,0,1,2.0,2.0,2.0,1,16,4
puddle_4_5_models_0.1,,0.5558640956878662,0.5919067859649658,0.7129170894622803,0.006331205368041992,0.006187915802001953,0.5919067859649658,0,0,0.7129170894622803,0,1,2.0,2.0,2.0,5,16,4
