game,room_side,rooms_per_side,board_side,num_humans,num_simu,n_states,n_reachable,n_actions,n_humans,n_draws,n_B_nofilter,n_B,n_I,n_columns,t_build,t_rejected,t_bottlenecks,t_toboggan_filter,t_algorithm1,t_oracle_sets,t_solve_strategic_exact,t_solve_info_gain,t_solve_proximity,t_solve_frequency,t_sim_query_all,t_sim_strategic_exact,t_sim_info_gain,t_sim_proximity,t_sim_frequency,t_total,t_total_std,n_skipped,skipped
gridworld,5,5,25,12,50,625.0,554.86,4.0,12.0,6.6,13.32,13.32,4.1,13.32,0.1881991884438321,1.5185643009911292,0.04185683587566018,nan,0.10217290014261379,1.919139176607132e-06,1.4408130207983776,3.7289918400347235e-05,0.00010253413813188672,2.2619161754846572e-05,5.94141730107367e-05,0.013170481673441828,0.0002057433594018221,9.098252281546593e-05,0.00017329412046819924,1.787748824134469,3.119231335284259,0,
gridworld,5,5,25,16,50,625.0,554.0,4.0,16.0,4.24,13.92,13.92,3.84,13.92,0.2479611066216603,1.1127076041256077,0.057519016687292604,nan,0.1293015133123845,2.213204279541969e-06,1.6830778608703987,4.131422145292163e-05,0.0001100267143920064,2.2626770660281183e-05,6.395084783434868e-05,0.012245827505830675,0.00023113826522603632,9.537829551845788e-05,0.00018830255139619113,2.1321035199379548,3.614932587600637,0,
gridworld,5,5,25,20,50,625.0,553.22,4.0,20.0,4.46,15.0,15.0,3.98,15.0,0.3117050307104364,1.4618124465923756,0.07166924507357181,nan,0.221476555862464,2.514051739126444e-06,4.124486278325785,6.863591028377414e-05,0.0001566007942892611,2.7702536899596454e-05,7.61900027282536e-05,0.04001561321783811,0.0002789699984714389,0.00010786254424601793,0.0002045174315571785,4.7730270583042875,5.271511303264208,0,
puddleworld,5,5,25,12,50,625.0,561.2,4.0,12.0,7.46,13.82,13.82,4.08,13.82,0.19177826665807515,1.7500885866675526,0.04202734171645716,nan,0.1084545133728534,1.9115605391561985e-06,1.626272788355127,3.986167022958398e-05,0.00010790097760036587,2.3447496350854634e-05,6.43249973654747e-05,0.01660989993484691,0.00024232328170910476,0.00010590839199721814,0.00020004261517897248,1.9864449574798346,3.5042974737956585,0,
puddleworld,5,5,25,16,50,625.0,564.8,4.0,16.0,4.64,14.86,14.86,4.0,14.86,0.2520353658217937,1.4141557917208412,0.06284061170648783,nan,0.18471739594358952,2.6400224305689334e-06,3.602052740866784,5.609921645373106e-05,0.00013300165766850114,2.4834887590259313e-05,7.190083852037787e-05,0.03727149504236877,0.0003313274495303631,0.00011319249169901013,0.00021097338292747737,4.141933554937132,4.6937008936780655,0,
puddleworld,5,5,25,20,50,625.0,565.28,4.0,20.0,5.32,14.36,14.36,4.02,14.36,0.3161902541364543,1.9750045465375297,0.07465026830555871,nan,0.1468347275373526,2.80079897493124e-06,3.7009756874549202,5.712501937523484e-05,0.00014120838372036815,2.648165449500084e-05,7.417915621772408e-05,0.043142993324436246,0.0002718199836090207,0.00011494000442326069,0.00019927416229620576,4.283392098315526,6.720599113894016,0,
rockworld,5,5,25,12,50,1250.0,1005.9,4.0,12.0,37.04,13.32,13.32,3.78,13.32,0.41201884493930263,18.561324328368062,0.09081922577461228,nan,0.09942483919905498,2.1583051420748235e-06,2.1301504816813392,4.072247538715601e-05,0.000130411759018898,2.230661455541849e-05,6.360412109643221e-05,0.022713383317459375,0.0002352009038440883,9.747748728841543e-05,0.000181755016092211,2.756560550022405,5.559470380199238,0,
rockworld,5,5,25,16,50,1250.0,998.02,4.0,16.0,19.26,13.62,13.62,4.0,13.62,0.5487716816435568,12.59854639498284,0.1226490774564445,nan,0.11080567577620969,2.7500209398567677e-06,2.7611500567034817,4.710327833890915e-05,0.00014781494857743382,2.412502188235521e-05,6.824850803241133e-05,0.0264783200644888,0.0002646240615285933,9.880664525553584e-05,0.00019626502180472016,3.5721524583385325,6.872617109656437,0,
rockworld,5,5,25,20,50,1250.0,984.78,4.0,20.0,17.5,14.12,14.12,3.94,14.12,0.6706468816287816,14.177845948014873,0.1540131158498116,nan,0.1679500791756436,2.872557379305363e-06,3.8547805257560683,5.006244406104088e-05,0.00015133578097447753,2.3804944939911367e-05,6.776663009077311e-05,0.033462219098582865,0.0002956132730469108,0.00010970500065013767,0.00020844082813709975,4.882806207423564,8.27508784311823,0,
taxiworld,5,5,25,12,50,1875.0,782.32,6.0,12.0,96.14,16.0,16.0,3.84,16.0,0.5701857008598745,67.7485106766643,0.08632601253222674,nan,0.5194643782847561,3.5025039687752722e-06,12.13729246166069,0.0001807033084332943,0.00037578085204586386,3.3295860048383475e-05,0.00013271998148411512,0.12259303422411903,0.00029855001252144576,0.00013024922693148256,0.00019240580033510923,13.43891845337348,11.198801613007447,0,
taxiworld,5,5,25,16,50,1875.0,861.4,6.0,16.0,85.34,15.64,15.64,3.9,15.64,0.7348791808425449,73.63685142549686,0.11510997420176863,nan,0.5010961774899624,3.3041415736079217e-06,5.484360071616248,3.8868400733917954e-05,0.00016931158024817704,2.4461641442030668e-05,6.251341663300991e-05,0.018613384128548204,0.0002296425262466073,8.771248161792755e-05,0.000190754143986851,6.856545003294014,5.294582616426277,0,
taxiworld,5,5,25,20,50,1875.0,808.74,6.0,20.0,119.46,16.1,16.1,3.9,16.1,0.9054493666603229,125.6803336458467,0.1357130758604035,nan,0.5621734408172778,3.5550747998058797e-06,6.988439497540239,3.9699911139905454e-05,0.00017179169924929738,2.458502072840929e-05,6.379584548994899e-05,0.02579534164862707,0.00023899497697129845,9.073429508134723e-05,0.00020407001720741392,8.620475949915125,5.288270783623525,0,
overcooked,,,,12,50,38417.0,161.0,6.0,12.0,1.0,41.68,12.72,10.56,12.72,0.026373430816456676,0.0,0.0092721709003672,0.00011080990545451641,0.0011699757957831026,5.120846908539533e-06,0.46258523490745573,3.0657490715384486e-05,nan,2.079499652609229e-05,7.047082297503948e-05,0.012346250817645342,0.00036276330472901464,nan,0.0002697941451333463,0.5130782408150845,1.3886553656950889,0,
overcooked,,,,16,50,38417.0,161.0,6.0,16.0,1.0,45.3,13.82,12.22,13.82,0.026294841731432827,0.0,0.012358525113668292,0.00011347165796905756,0.0013983382890000939,6.037505809217691e-06,1.7147032516845502,3.358169924467802e-05,nan,2.249827841296792e-05,7.467414019629359e-05,0.045096266688778995,0.0003999990993179381,nan,0.0002918907767161727,1.8010243725473993,2.744294928219183,0,
overcooked,,,,20,50,38417.0,161.0,6.0,20.0,1.0,49.52,15.1,14.5,15.1,0.026334072477184237,0.0,0.015456445794552565,0.00011768901953473687,0.0016796382912434638,6.823302246630192e-06,3.345561819195282,3.771166782826185e-05,nan,2.4728327989578247e-05,8.202326716855168e-05,0.08826056997524574,0.0004506241041235626,nan,0.0003196374513208866,3.478575790862087,3.6102781389989316,0,
