game,room_side,rooms_per_side,board_side,num_humans,num_simu,rep,seed,n_states,n_reachable,n_actions,n_humans,n_draws,n_B_nofilter,n_B,n_I,n_columns,t_build,t_rejected,t_bottlenecks,t_toboggan_filter,t_algorithm1,t_oracle_sets,t_solve_strategic_exact,t_solve_info_gain,t_solve_proximity,t_solve_frequency,t_sim_query_all,t_sim_strategic_exact,t_sim_info_gain,t_sim_proximity,t_sim_frequency,t_total,success,query_all,strategic_exact,info_gain,proximity,frequency,skipped
gridworld,5,5,25,12,50,0,0,625,524,4,12,2,10,10,4,10,0.27409624900064955,0.33217174999845156,0.12250391799716454,nan,0.0020132910012762295,0.0,0.004315750000387197,3.354199907334987e-05,9.954200140782632e-05,2.2084001102484763e-05,6.933300028322265e-05,0.00040416699994239025,0.0002100830006384058,9.791599950403906e-05,0.00011966600141022354,0.40456012499998906,1,9,2,5,4,5,
gridworld,5,5,25,12,50,1,1,625,500,4,12,3,13,13,4,13,0.26539083300122,0.582082040999012,0.14668112700201164,nan,0.006812375000663451,0.0,0.10913450000043667,3.383300099812914e-05,9.200000022246968e-05,2.224999843747355e-05,4.2958001358783804e-05,0.0006866669991723029,9.845800013863482e-05,9.825000051932875e-05,0.0001996669998334255,0.5296573340001487,1,5,2,2,5,9,
gridworld,5,5,25,12,50,2,2,625,523,4,12,23,16,16,6,16,0.2665227079978649,7.324770999000975,0.06387491700115788,nan,0.02802750000046217,0.0,3.8998295000001235,4.729099964606576e-05,0.00015449999955308158,2.8374999601510353e-05,7.999999979801942e-05,0.02980924999974377,0.00035037499947065953,0.00014087499948800541,0.00021508300051209517,4.289472917000239,1,14,4,10,8,10,
gridworld,5,5,25,12,50,3,3,625,594,4,12,4,14,14,4,14,0.24822732900065603,1.1248223339989636,0.06153270799404709,nan,0.013015709000683273,0.0,0.33643149999988964,5.375000000640284e-05,0.0001460839994251728,2.695800139917992e-05,8.791700020083226e-05,0.0029162080008973135,0.0004378749999887077,0.00012758299999404699,0.0002787079993140651,0.6637523329991382,1,13,3,13,6,13,
gridworld,5,5,25,12,50,4,4,625,594,4,12,21,16,16,4,16,0.2779477490021236,6.675135085011789,0.07825391700316686,nan,0.023542790999272256,0.0,3.5058138749991485,4.3582998841884546e-05,0.00012316699940129183,2.45829996856628e-05,7.129199912014883e-05,0.017518832999485312,0.0003563329992175568,0.00015312499999708962,0.00022545800129591953,3.9045652089989744,1,12,3,10,7,10,
gridworld,5,5,25,12,50,5,5,625,473,4,12,5,16,16,4,16,0.27419841800474387,1.461789958000736,0.06010329299715522,nan,0.0830947920003382,0.0,3.8175455829987186,4.1833998693618923e-05,0.00011212499885004945,2.5749999622348696e-05,4.875000013271347e-05,0.011725874999683583,0.00026199999956588726,7.379199996648822e-05,0.00026591599998937454,4.247915040999942,1,6,2,7,4,11,
gridworld,5,5,25,12,50,6,6,625,571,4,12,7,17,17,4,17,0.27299016699726053,1.9690927899991948,0.065178291999473,nan,0.0326046669997595,0.0,28.280229084000894,0.000149583000165876,0.00024408299941569567,4.4499998693936504e-05,0.00014575000022887252,0.4063123750001978,0.0005470839987538056,0.00018324999837204814,0.0003007079994858941,29.059479708001163,1,16,5,13,7,13,
gridworld,5,5,25,12,50,7,7,625,594,4,12,10,15,15,4,15,0.26858733399967605,2.8770998749969294,0.07110133299647714,nan,0.013323125000169966,0.0,1.350493790998371,4.595800055540167e-05,0.00012454100033210125,2.5666000510682352e-05,7.47499998396961e-05,0.007648582999536302,0.0005484169996634591,0.00015816700033610687,0.00021420799930638168,1.7130600000000413,1,11,3,9,6,9,
gridworld,5,5,25,12,50,8,8,625,548,4,12,1,15,15,4,15,0.286459166003624,0.0,0.0630900020005356,nan,0.035610999999335036,0.0,1.3761390409999876,4.425000042829197e-05,0.00013266599853523076,2.870900061680004e-05,5.708299977413844e-05,0.004431084000316332,0.00030183300077624153,8.64590001583565e-05,0.00022241700025915634,1.7670865840027545,1,7,2,8,4,10,
gridworld,5,5,25,12,50,9,9,625,594,4,12,2,9,9,4,9,0.29309320699576347,0.3643169579991081,0.06554895599947486,nan,0.0014944169997761492,0.0,0.0018307500013179379,2.1333000404410996e-05,7.91669990576338e-05,2.0040999515913427e-05,3.7166999391047284e-05,7.487499897251837e-05,8.004199844435789e-05,6.341700100165326e-05,0.00011616700066952035,0.36287629199978255,1,5,2,2,3,5,
gridworld,5,5,25,12,50,10,10,625,498,4,12,2,14,14,4,14,0.2733436660018924,0.25669312499849184,0.07091450100051588,nan,0.003937041999961366,0.0,0.35000987499915936,4.6875000407453626e-05,0.00013899999976274557,2.2707999960402958e-05,8.345900096173864e-05,0.0032769170011306414,0.0003448749994277023,0.00015837499995541293,0.000217415999941295,0.7028412090003258,1,13,4,10,8,10,
gridworld,5,5,25,12,50,11,11,625,520,4,12,6,17,17,4,17,0.26989633300036076,1.702449581998735,0.05373245800183213,nan,0.13279679100014619,0.0,28.284431541998856,0.00011962499957007822,0.00021387500055425335,4.045799869345501e-05,0.00012074999904143624,0.27490462499918067,0.0004567079995467793,0.0001765830002113944,0.0002329580001969589,29.017732083999363,1,9,2,9,6,11,
gridworld,5,5,25,12,50,12,12,625,594,4,12,16,12,12,4,12,0.2579955830024119,5.086804458998813,0.06341700199845945,nan,0.004582792000292102,0.0,0.0356065830001171,3.933299922209699e-05,0.00017020799896272365,2.283300091221463e-05,6.454199865402188e-05,0.0003418750002310844,0.00010033299986389466,7.070799983921461e-05,0.00013854200005880557,0.3632829590005713,1,9,2,2,3,6,
gridworld,5,5,25,12,50,13,13,625,526,4,12,14,12,12,4,12,0.26908641600493866,4.073017873999561,0.05381887600015034,nan,0.00601374999860127,0.0,0.03339504099858459,3.449999894655775e-05,0.00010566600030870177,2.1208999896771275e-05,4.599999920174014e-05,0.00034337499891989864,0.00021262500013108365,8.666699977766257e-05,0.00015062499915075023,0.3653680000006716,1,6,3,7,5,7,
gridworld,5,5,25,12,50,14,14,625,548,4,12,2,11,11,4,11,0.2899648749971675,0.3420701250015554,0.06615154199971585,nan,0.0026672090007195948,0.0,0.011185125000338303,3.574999936972745e-05,9.649999992689118e-05,2.0916999346809462e-05,3.9583999750902876e-05,0.00016599999980826396,9.537500045553315e-05,6.741600009263493e-05,0.00011316699965391308,0.3709829590006848,1,5,2,2,3,5,
gridworld,5,5,25,12,50,15,15,625,548,4,12,4,13,13,4,13,0.2682503319992975,0.9160859580006218,0.06521845899987966,nan,0.01571187499939697,0.0,0.13856783299888775,3.912499960279092e-05,0.00011137500041513704,2.274999860674143e-05,5.458300074678846e-05,0.0006987919987295754,9.775000035006087e-05,7.279200144694187e-05,0.00015912500020931475,0.48938229200030037,1,8,2,2,3,7,
gridworld,5,5,25,12,50,16,16,625,594,4,12,4,12,12,4,12,0.2714630420014146,0.9775862490005238,0.05938066399903619,nan,0.004352459000074305,0.0,0.0374956249997922,9.750000026542693e-05,0.0001404999984515598,2.975000097649172e-05,5.562499973166268e-05,0.00042658399979700334,9.249999857274815e-05,8.200000047509093e-05,0.00018000000090978574,0.3742070419993979,1,4,3,2,4,7,
gridworld,5,5,25,12,50,17,17,625,524,4,12,1,14,14,4,14,0.2648821639995731,0.0,0.06472766600381874,nan,0.01737837500149908,0.0,0.42890491700018174,4.4874999730382115e-05,0.00012975000026926864,2.3624999812454917e-05,7.48330003261799e-05,0.0034830829990823986,0.00033104200156230945,9.595899973646738e-05,0.00021058299898868427,0.7806985839997651,1,12,5,10,5,10,
gridworld,5,5,25,12,50,18,18,625,573,4,12,1,14,14,4,14,0.2718713749982271,0.0,0.07301999700212036,nan,0.01483275000100548,0.0,0.38197874999968917,4.1541999962646514e-05,0.00010870900041481946,2.4124999981722794e-05,7.029200060060248e-05,0.001642500001253211,0.00011508299940032884,0.00010179199853155296,0.00015262499982782174,0.7443740829985472,1,12,2,2,5,7,
gridworld,5,5,25,12,50,19,19,625,522,4,12,1,11,11,4,11,0.2656506250004895,0.0,0.07003637499838078,nan,0.0038537920008820947,0.0,0.010663791999832029,2.4917000700952485e-05,8.587500087742228e-05,1.941700065799523e-05,5.254200004856102e-05,0.00010733299859566614,0.00019520899877534248,8.037500083446503e-05,0.00013295800090418197,0.3512917500011099,1,8,2,6,4,6,
