game,room_side,rooms_per_side,board_side,num_humans,num_simu,n_episodes,n_success,n_failure,query_all_mean,query_all_std,query_all_mean_success,query_all_mean_failure,strategic_exact_mean,strategic_exact_std,strategic_exact_mean_success,strategic_exact_mean_failure,info_gain_mean,info_gain_std,info_gain_mean_success,info_gain_mean_failure,proximity_mean,proximity_std,proximity_mean_success,proximity_mean_failure,frequency_mean,frequency_std,frequency_mean_success,frequency_mean_failure,saved_queries,skipped
gridworld,5,5,25,12,50,50,48,2,8.74,3.554208772708772,8.75,8.5,2.62,0.9977975746613138,2.6875,1.0,5.64,3.718924575734227,5.729166666666667,3.5,4.56,1.75681530047982,4.708333333333333,1.0,7.98,2.4939125886846956,8.1875,3.0,6.12,
gridworld,5,5,25,16,50,50,49,1,9.5,3.8691084244306206,9.571428571428571,6.0,2.76,1.1056219968868204,2.795918367346939,1.0,6.34,3.8241861879359376,6.163265306122449,15.0,4.66,1.4779715829473854,4.73469387755102,1.0,8.6,2.1908902300206643,8.46938775510204,15.0,6.74,
gridworld,5,5,25,20,50,50,48,2,9.42,3.4472597813335737,9.541666666666666,6.5,2.92,1.2302845199383756,2.9791666666666665,1.5,7.38,3.9186222068477083,7.3125,9.0,5.1,1.746424919657298,5.270833333333333,1.0,9.42,2.209886874932742,9.479166666666666,8.0,6.5,
puddleworld,5,5,25,12,50,50,50,0,9.56,3.5336100520572438,9.56,nan,2.92,1.2781236246936367,2.92,nan,6.64,4.112225674741112,6.64,nan,5.26,1.9163506985935534,5.26,nan,9.08,2.198544973385807,9.08,nan,6.64,
puddleworld,5,5,25,16,50,50,48,2,9.66,3.881288445864337,9.8125,6.0,2.9,1.1532562594670797,2.9166666666666665,2.5,7.6,4.498888751680797,7.416666666666667,12.0,5.52,1.9312172327317298,5.625,3.0,9.74,2.6291443475016734,9.645833333333334,12.0,6.76,
puddleworld,5,5,25,20,50,50,50,0,9.24,3.9169375792830805,9.24,nan,2.72,1.1320777358467926,2.72,nan,6.62,4.132263302356228,6.62,nan,5.3,1.57797338380595,5.3,nan,8.9,2.685144316419511,8.9,nan,6.52,
rockworld,5,5,25,12,50,50,50,0,9.24,3.332026410459557,9.24,nan,2.86,1.4833745312630928,2.86,nan,6.36,3.8092518950576113,6.36,nan,4.8,1.979898987322333,4.8,nan,8.28,2.2542404485768595,8.28,nan,6.38,
rockworld,5,5,25,16,50,50,49,1,9.3,3.5341194094144583,9.326530612244898,8.0,2.76,1.1757550765359255,2.795918367346939,1.0,6.8,4.079215610874228,6.714285714285714,11.0,4.62,1.6234531098864544,4.6938775510204085,1.0,8.7,2.4596747752497685,8.653061224489797,11.0,6.54,
rockworld,5,5,25,20,50,50,50,0,8.94,3.477987924073343,8.94,nan,3.16,1.3763720427268202,3.16,nan,7.2,3.773592452822642,7.2,nan,5.02,1.5164432069813891,5.02,nan,9.14,2.1448543074064492,9.14,nan,5.78,
taxiworld,5,5,25,12,50,50,50,0,10.6,3.736308338453881,10.6,nan,2.7,1.0816653826391966,2.7,nan,5.76,3.6962683885237553,5.76,nan,4.48,1.4034243834279068,4.48,nan,8.64,2.215942237514327,8.64,nan,7.9,
taxiworld,5,5,25,16,50,50,50,0,9.48,3.9255063367672713,9.48,nan,2.3,0.6403124237432849,2.3,nan,5.86,3.9141282554356853,5.86,nan,4.14,1.149086593777858,4.14,nan,8.6,2.08806130178211,8.6,nan,7.18,
taxiworld,5,5,25,20,50,50,50,0,9.8,3.3286633954186478,9.8,nan,2.5,0.7810249675906654,2.5,nan,6.14,4.098829101097043,6.14,nan,4.36,1.2611106216347556,4.36,nan,9.26,2.170806301815065,9.26,nan,7.3,
overcooked,,,,12,50,50,50,0,12.4,2.1166010488516727,12.4,nan,9.7,2.071231517720798,9.7,nan,11.56,2.136913662270893,11.56,nan,nan,nan,nan,nan,12.66,2.2236006835760778,12.66,nan,2.7,
overcooked,,,,16,50,50,50,0,13.28,2.4983194351403504,13.28,nan,10.9,2.360084744241189,10.9,nan,12.66,2.405077961314352,12.66,nan,nan,nan,nan,nan,13.78,2.4436857408431223,13.78,nan,2.38,
overcooked,,,,20,50,50,50,0,14.64,2.142521878534733,14.64,nan,12.12,1.9041008376659048,12.12,nan,13.94,1.9432961688841976,13.94,nan,nan,nan,nan,nan,15.06,1.9739300899474632,15.06,nan,2.52,
