game,room_side,rooms_per_side,board_side,num_humans,num_simu,n_states,n_reachable,n_actions,n_humans,n_draws,n_B_nofilter,n_B,n_I,n_columns,t_build,t_rejected,t_bottlenecks,t_toboggan_filter,t_algorithm1,t_oracle_sets,t_solve_strategic_exact,t_solve_info_gain,t_solve_proximity,t_solve_frequency,t_sim_query_all,t_sim_strategic_exact,t_sim_info_gain,t_sim_proximity,t_sim_frequency,t_total,t_total_std,n_skipped,skipped
gridworld,5,5,25,12,50,625.0,554.86,4.0,12.0,6.6,13.32,13.32,4.1,13.32,0.26508081986568865,1.8023538933740928,0.06853780504316091,nan,0.018799469182267783,0.0,2.161948923310265,4.5255860313773156e-05,0.00013406505342572928,2.5930837728083135e-05,6.77992170676589e-05,0.020663567567244173,0.0002179317642003298,9.661000687628985e-05,0.00017727165948599577,2.5366409983020275,5.604751898236684,0,
gridworld,5,5,25,16,50,625.0,554.0,4.0,16.0,4.24,13.92,13.92,3.84,13.92,0.3568419247213751,1.3422803781367838,0.09240105674602091,nan,0.023306322530843318,0.0,2.506201625945978,4.8567582853138445e-05,0.00013517250306904316,2.4141720496118067e-05,6.81800302118063e-05,0.022300538360141217,0.0002497567282989621,0.00010208496823906898,0.00019044507760554552,3.002634255089797,6.280023600978221,0,
gridworld,5,5,25,20,50,625.0,553.22,4.0,20.0,4.46,15.0,15.0,3.98,15.0,0.4486927841510624,1.698118599015288,0.1254277215572074,nan,0.03894290408119559,0.0,7.606679786709138,6.915001664310694e-05,0.0001923540560528636,2.8570783324539662e-05,7.914088666439057e-05,0.07361108756624163,0.00030164584517478944,0.00011712833773344755,0.0002069808030501008,8.296884628329426,11.268317110811893,0,
puddleworld,5,5,25,12,50,625.0,561.2,4.0,12.0,7.46,13.82,13.82,4.08,13.82,0.27690598024055363,2.230226911911741,0.07525380675680936,nan,0.020078458325006068,0.0,2.7164004875393584,4.600666929036379e-05,0.0001311915274709463,2.4255900643765927e-05,6.902331486344338e-05,0.025585346673615277,0.0002422183519229293,0.00010659592226147652,0.00019741329830139876,3.115778103414923,7.020333656417154,0,
puddleworld,5,5,25,16,50,625.0,564.8,4.0,16.0,4.64,14.86,14.86,4.0,14.86,0.3496067898673937,1.5161585432244464,0.09272120544686914,nan,0.03290747838560492,0.0,5.39046828174498,5.862917751073837e-05,0.00019347424618899824,2.753494307398796e-05,0.00012067752424627543,0.05013227078597993,0.00030196585692465305,0.00012139668688178062,0.00021608746610581874,5.918596087358892,8.592777999612117,0,
puddleworld,5,5,25,20,50,625.0,565.28,4.0,20.0,5.32,14.36,14.36,4.02,14.36,0.43302766741719095,2.069610734297894,0.11287554079666734,nan,0.02673513920046389,0.0,4.300214004963636,7.49824708327651e-05,0.0001903783855959773,2.882916480302811e-05,7.435994688421487e-05,0.04672330093570053,0.0002867916831746697,0.00011255169287323952,0.00019525921903550624,4.921801354167983,8.117861505928548,0,
rockworld,5,5,25,12,50,1250.0,1005.9,4.0,12.0,37.04,13.32,13.32,3.78,13.32,0.6018553809355944,26.661362917744555,0.1338678699405864,nan,0.019242244148626922,0.0,1.9603346067015082,4.213667940348387e-05,0.00017707831691950559,2.2805011831223964e-05,6.477576680481434e-05,0.017995833358727394,0.00022556086536496879,9.750089608132839e-05,0.00018111750483512879,2.734952005143277,4.901516505467424,0,
rockworld,5,5,25,16,50,1250.0,998.02,4.0,16.0,19.26,13.62,13.62,4.0,13.62,0.7626003524428233,17.513753592520953,0.18007414965424687,nan,0.021192103209905326,0.0,1.6199660974601284,3.6948295310139656e-05,0.00012512163259088992,2.2207493893802167e-05,6.088838446885347e-05,0.010467494097538292,0.0002305284095928073,9.149500634521246e-05,0.00018774666357785464,2.596042521679774,3.1701470275628405,0,
rockworld,5,5,25,20,50,1250.0,984.78,4.0,20.0,17.5,14.12,14.12,3.94,14.12,0.9352806548122317,18.99341145505663,0.23479424810502678,nan,0.02855213576927781,0.0,2.2309410049347207,3.944162279367447e-05,0.0001431192085146904,2.300830092281103e-05,6.0046683065593245e-05,0.012961054099723696,0.0002451949333772063,9.788904804736376e-05,0.00019584417343139647,3.4446029600687327,3.5152583082961564,0,
taxiworld,5,5,25,12,50,1875.0,782.32,6.0,12.0,96.14,16.0,16.0,3.84,16.0,0.8063080248096958,47.03136678131763,0.1437914907420054,nan,0.0852384592173621,0.0,6.874555793418549,4.571239929646254e-05,0.00022926747333258392,2.5577531196177007e-05,7.424914743751287e-05,0.033514053290709854,0.00023524409160017968,9.778500068932772e-05,0.00019042587839066983,7.9465578415757046,5.1349393166457045,0,
taxiworld,5,5,25,16,50,1875.0,861.4,6.0,16.0,85.34,15.64,15.64,3.9,15.64,1.0404097668500618,44.39281462851446,0.18461806836072356,nan,0.08102235488593579,0.0,5.5732898049522195,6.458989810198545e-05,0.00024367920588701963,3.121172543615103e-05,7.654991000890731e-05,0.028721442553214727,0.0002483199723064899,9.897674899548293e-05,0.00019226831384003162,6.912931294180453,5.133481687353077,0,
taxiworld,5,5,25,20,50,1875.0,808.74,6.0,20.0,119.46,16.1,16.1,3.9,16.1,1.2941026769019663,61.87476410294417,0.22355356255546213,nan,0.09185752750374376,0.0,7.179683490977623,6.51365565136075e-05,0.0002467283746227622,3.063997719436884e-05,7.857833057641983e-05,0.045411814996041355,0.0002668450819328427,0.00010497002396732569,0.00020362073555588723,8.84087634336669,5.250787393555037,0,
overcooked,,,,12,50,38417.0,161.0,6.0,12.0,1.0,41.68,12.72,10.56,12.72,0.032984380801208316,0.0,0.011437016674317419,0.00014114586636424065,0.0008718891628086567,9.770100004971028e-06,0.48945329918991776,3.4791668877005574e-05,nan,2.1659210324287416e-05,7.532746531069279e-05,0.012971851690672338,0.0003676840988919139,nan,0.0002713124454021454,0.548932829964906,1.5173738721932142,0,
